x,y,xy,x^4,x^3,x^2,x^2y
1980.4583,341.36,676049.2453,15383771118395.6172,7767783405.6873,3922215.0780,1338887339.0393555
1980.5417,339.45,672294.8801,15386362614631.5625,7768764785.2260,3922545.4254,1331508044.665231
1980.6250,337.67,668797.6438,15388951330371.2461,7769745070.5566,3922875.3906,1324637333.1523438
1980.7083,336.25,666013.1659,15391540372755.7402,7770725438.3474,3923205.3697,1319177805.5578892
1980.7917,336.14,665823.3220,15394132850495.1113,7771707065.6622,3923535.7588,1318857309.9592974
1980.8750,337.30,668149.1375,15396722546643.8672,7772687598.4824,3923865.7656,1323519922.7453125
1980.9583,338.29,670138.3833,15399312569519.9004,7773668213.7731,3924195.7863,1327516192.560583
1981.0417,339.29,672147.6384,15401906029010.4863,7774650088.8954,3924526.2171,1331552500.2130542
1981.1250,340.55,674672.1188,15404496705815.8203,7775630869.2363,3924856.2656,1336609801.2585938
1981.2083,341.63,676840.1915,15407087709430.9062,7776611732.0581,3925186.3280,1340961405.2308445
1981.2917,342.60,678790.5364,15409682150920.5312,7777593855.0192,3925516.8005,1344882055.847494
1981.3750,343.04,679690.8800,15412273808629.9805,7778574882.9121,3925846.8906,1346722517.3600001
1981.4583,342.54,678728.7261,15414865793231.6660,7779555993.2963,3926176.9946,1344872667.7436054
1981.5417,340.82,675349.0422,15417461216968.1855,7780538364.1274,3926507.5088,1338232289.1624706
1981.6250,338.48,670740.4300,15420053855829.3164,7781519639.6035,3926837.6406,1329156004.59875
1981.7083,336.95,667736.6117,15422646821665.1816,7782500997.5813,3927167.7863,1323259185.5900414
